Date,Team,Acquired,Relinquished,Notes
2024-01-05,Lakers,,• D'Angelo Russell,placed on IL with bruised tailbone
2024-01-05,Lakers,,• Rui Hachimura,placed on IL with strained left calf
2024-01-05,Magic,,• Franz Wagner,placed on IL with sprained right ankle
2024-01-05,Mavericks,,• Dereck Lively II,placed on IL with sprained left ankle
2024-01-05,Mavericks,,• Grant Williams,placed on IL with sprained right ankle
2024-01-05,Mavericks,,• Luka Doncic,placed on IL with right ankle injury
2024-01-05,Mavericks,,• Markieff Morris,placed on IL with illness
2024-01-05,Nets,• Lonnie Walker IV,,activated from IL
2024-01-05,Nuggets,,• Julian Strawther,placed on IL with bruised right knee
2024-01-05,Pacers,,• Andrew Nembhard,placed on IL with back injury
2024-01-05,Pelicans,• Trey Murphy III,,activated from IL
2024-01-05,Suns,,• Eric Gordon,placed on IL with sore right knee
2024-01-05,Timberwolves,• Luka Garza,,activated from IL
2024-01-05,Wizards,,• Landry Shamet,placed on IL with left hamstring injury
2024-01-06,76ers,,• Tobias Harris,placed on IL with sore left ankle
2024-01-06,Pacers,,• Bruce Brown,placed on IL with bruised right knee
2024-01-06,Pelicans,,• Jose Alvarado,placed on IL with illness
2024-01-06,Suns,,• Bol Bol,placed on IL with sprained right ankle
2024-01-06,Warriors,,• Chris Paul,placed on IL with fractured hand
2024-01-06,76ers,• Robert Covington,,activated from IL
2024-01-06,76ers,,• Robert Covington,"placed on IL with illness, various injuries (out for season)"
2024-01-07,Blazers,,• Matisse Thybulle,placed on IL with sprained right foot
2024-01-07,Bucks,,• Cameron Payne,placed on IL with concussion protocol
2024-01-07,Grizzlies,,• Ja Morant,placed on IL with sore right shoulder (out for season)
2024-01-07,Grizzlies,• Vince Williams Jr.,,activated from IL
2024-01-07,Heat,• Haywood Highsmith,,activated from IL
2024-01-07,Hornets,,• P.J. Washington,placed on IL with sprained right foot
2024-01-07,Kings,,• Trey Lyles,placed on IL with sprained right ankle
2024-01-07,Lakers,• D'Angelo Russell,,activated from IL
2024-01-07,Magic,,• Wendell Carter Jr.,placed on IL with right knee tendinitis
2024-01-07,Magic,• Markelle Fultz,,activated from IL
2024-01-07,Mavericks,• Grant Williams,,activated from IL
2024-01-07,Mavericks,• Luka Doncic,,activated from IL
2024-01-07,Mavericks,• Markieff Morris,,activated from IL
2024-01-07,Pelicans,,• Zion Williamson,placed on IL with bruised leg
2024-01-07,Spurs,• Doug McDermott,,activated from IL
2024-01-07,Suns,• Kevin Durant,,activated from IL
2024-01-07,Warriors,,• Gui Santos,placed on IL with sprained left ankle
2024-01-08,Bulls,,• Torrey Craig,placed on IL with heel injury
2024-01-08,Bulls,• Onuralp Bitim,,activated from IL
2024-01-08,Bulls,• Patrick Williams,,activated from IL
2024-01-08,Celtics,,• Jayson Tatum,placed on IL with sprained left ankle
2024-01-08,Celtics,,• Sam Hauser,placed on IL with right shoulder impingement
2024-01-08,Heat,,• R.J. Hampton,placed on IL with illness
2024-01-08,Hornets,,• Cody Martin,placed on IL with strained groin
2024-01-08,Pacers,• Andrew Nembhard,,activated from IL
2024-01-08,Pacers,• Bruce Brown,,activated from IL
2024-01-08,Pistons,,• Cade Cunningham,placed on IL with strained left knee
2024-01-08,Raptors,,• Jakob Poeltl,placed on IL with sprained left ankle
2024-01-08,Suns,,• Udoka Azubuike,placed on IL with illness
2024-01-08,Suns,• Eric Gordon,,activated from IL
2024-01-08,Thunder,,• Davis Bertans,placed on IL with illness
2024-01-08,Wizards,• Landry Shamet,,activated from IL
2024-01-09,76ers,• Furkan Korkmaz,,activated from IL
2024-01-09,76ers,• Tobias Harris,,activated from IL
2024-01-09,Blazers,• Matisse Thybulle,,activated from IL
2024-01-09,Celtics,• Jayson Tatum,,activated from IL
2024-01-09,Grizzlies,,• Derrick Rose,placed on IL with strained left hamstring
2024-01-09,Grizzlies,,• Jaren Jackson Jr.,placed on IL with bruised right knee
2024-01-09,Hawks,,• Garrison Mathews,placed on IL with sprained left ankle
2024-01-09,Heat,• R.J. Hampton,,activated from IL
2024-01-09,Kings,• Trey Lyles,,activated from IL
2024-01-09,Magic,,• Admiral Schofield,placed on IL with illness
2024-01-09,Pacers,,• Tyrese Haliburton,placed on IL with strained left hamstring
2024-01-09,Warriors,• Gui Santos,,activated from IL
2024-01-09,Magic,• Wendell Carter Jr.,,activated from IL
2024-01-10,76ers,,• Joel Embiid,placed on IL with left knee injury
2024-01-10,76ers,• De'Anthony Melton,,activated from IL
2024-01-10,Celtics,,• Kristaps Porzingis,placed on IL with bruised right knee
2024-01-10,Celtics,• Sam Hauser,,activated from IL
2024-01-10,Hawks,,• Clint Capela,placed on IL with sore right Achilles
2024-01-10,Hawks,,• Wesley Matthews / Wes Matthews Jr.,placed on IL with sore right calf
2024-01-10,Heat,,• Kyle Lowry,placed on IL with sprained left hand
2024-01-10,Mavericks,,• Luka Doncic,placed on IL with sprained right ankle
2024-01-10,Pelicans,• Jose Alvarado,,activated from IL
2024-01-10,Pelicans,• Zion Williamson,,activated from IL
2024-01-10,Spurs,,• Sidy Cissoko,placed on IL with sprained left ankle
2024-01-10,Suns,• Bol Bol,,activated from IL
2024-01-10,Suns,• Nassir Little,,activated from IL
2024-01-10,Suns,• Udoka Azubuike,,activated from IL
2024-01-10,Thunder,,• Olivier Sarr,placed on IL with illness
2024-01-10,Timberwolves,,• Rudy Gobert,placed on IL with sore left hip
2024-01-10,Pacers,,• Jarace Walker,placed on IL with respiratory infection
2024-01-11,Bucks,• Cameron Payne,,activated from IL
2024-01-11,Celtics,,• Al Horford,placed on IL with illness
2024-01-11,Celtics,• Kristaps Porzingis,,activated from IL
2024-01-11,Grizzlies,,• Marcus Smart,placed on IL with right finger injury (out for season)
2024-01-11,Grizzlies,• Jaren Jackson Jr.,,activated from IL
2024-01-11,Magic,• Joe Ingles,,activated from IL
2024-01-11,Suns,,• Drew Eubanks,placed on IL with illness
2024-01-11,Thunder,• Davis Bertans,,activated from IL
2024-01-11,Thunder,• Olivier Sarr,,activated from IL
2024-01-11,Warriors,,• Moses Moody,placed on IL with strained left calf
2024-01-11,Lakers,,• Maxwell Lewis,placed on IL with sore left knee
2024-01-12,76ers,,• Kenneth Lofton Jr.,placed on IL with sprained left shoulder
2024-01-12,Blazers,,• Shaedon Sharpe,placed on IL with strained right adductor
2024-01-12,Blazers,• Jabari Walker,,activated from IL
2024-01-12,Hawks,• Clint Capela,,activated from IL
2024-01-12,Hawks,• Garrison Mathews,,activated from IL
2024-01-12,Heat,,• Tyler Herro,placed on IL with strained right shoulder
2024-01-12,Heat,• Caleb Martin,,activated from IL
2024-01-12,Hornets,• LaMelo Ball,,activated from IL
2024-01-12,Kings,,• Kevin Huerter,placed on IL with sprained left ankle
2024-01-12,Pistons,,• Bojan Bogdanovic,placed on IL with sore left calf
2024-01-12,Pistons,• Isaiah Stewart,,activated from IL
2024-01-12,Timberwolves,• Rudy Gobert,,activated from IL
2024-01-13,Celtics,• Al Horford,,activated from IL
2024-01-13,Lakers,,• LeBron James,placed on IL with left ankle injury
2024-01-13,Lakers,• Maxwell Lewis,,activated from IL
2024-01-13,Lakers,• Rui Hachimura,,activated from IL
2024-01-13,Magic,,• Joe Ingles,placed on IL with left ankle injury
2024-01-13,Magic,,• Markelle Fultz,placed on IL with left knee injury
2024-01-13,Magic,• Admiral Schofield,,activated from IL
2024-01-13,Magic,• Jonathan Isaac,,activated from IL
2024-01-13,Mavericks,• Maximilian Kleber / Maxi Kleber,,activated from IL
2024-01-13,Pacers,,• Aaron Nesmith,placed on IL with shin injury
2024-01-13,Pelicans,,• Brandon Ingram,placed on IL with sore right Achilles
2024-01-13,Pelicans,,• C.J. McCollum,placed on IL with sprained right ankle
2024-01-13,Rockets,• Dillon Brooks,,activated from IL
2024-01-13,Spurs,,• Doug McDermott,placed on IL with sprained right ankle
2024-01-13,Suns,• Drew Eubanks,,activated from IL
2024-01-13,Thunder,,• Lindy Waters III,placed on IL with illness
2024-01-13,Wizards,,• Johnny Davis (Christian),placed on IL with illness
2024-01-14,76ers,,• De'Anthony Melton,placed on IL with lumbar spine injury
2024-01-14,Blazers,,• Ibou Badji,placed on IL with bruised right hip
2024-01-14,Bucks,,• Chris Livingston,placed on IL with illness
2024-01-14,Bucks,,• Khris Middleton,placed on IL with right knee injury
2024-01-14,Bulls,,• Julian Phillips,placed on IL with fibula injury
2024-01-14,Heat,• Kyle Lowry,,activated from IL
2024-01-14,Heat,• Tyler Herro,,activated from IL
2024-01-14,Hornets,• Cody Martin,,activated from IL
2024-01-14,Hornets,• P.J. Washington,,activated from IL
2024-01-14,Kings,• Kevin Huerter,,activated from IL
2024-01-14,Lakers,,• Cam Reddish,placed on IL with sore left knee
2024-01-14,Magic,• Joe Ingles,,activated from IL
2024-01-14,Magic,• Markelle Fultz,,activated from IL
2024-01-14,Pacers,• Jarace Walker,,activated from IL
2024-01-14,Suns,,• Bol Bol,placed on IL with sore/sprained right foot
2024-01-15,76ers,,• Jaden Springer,placed on IL with right ankle tendinitis
2024-01-15,76ers,,• Mohamed Bamba / Mo Bamba,placed on IL with right knee injury
2024-01-15,76ers,• Joel Embiid,,activated from IL
2024-01-15,Celtics,,• Jaylen Brown,placed on IL with hyperextended right knee
2024-01-15,Grizzlies,,• Desmond Bane,placed on IL with sprained left ankle
2024-01-15,Heat,,• Jaime Jaquez Jr.,placed on IL with strained groin
2024-01-15,Heat,,• Kevin Love,placed on IL with bruised left knee
2024-01-15,Heat,• Jimmy Butler,,activated from IL
2024-01-15,Lakers,• LeBron James,,activated from IL
2024-01-15,Mavericks,,• Derrick Jones Jr.,placed on IL with bruised right calf
2024-01-15,Mavericks,• Dereck Lively II,,activated from IL
2024-01-15,Pelicans,• Brandon Ingram,,activated from IL
2024-01-15,Pelicans,• C.J. McCollum,,activated from IL
2024-01-15,Raptors,,• Gary Trent Jr.,placed on IL with illness
2024-01-15,Spurs,• Doug McDermott,,activated from IL
2024-01-15,Thunder,• Lindy Waters III,,activated from IL
2024-01-15,Wizards,• Johnny Davis (Christian),,activated from IL
2024-01-16,Bucks,• Chris Livingston,,activated from IL
2024-01-16,Bucks,• Jae Crowder,,activated from IL
2024-01-16,Bucks,• Khris Middleton,,activated from IL
2024-01-16,Celtics,• Jaylen Brown,,activated from IL
2024-01-16,Clippers,,• Ivica Zubac,placed on IL with right calf injury
2024-01-17,Blazers,• Ibou Badji,,activated from IL
2024-01-17,Bucks,,• Giannis Antetokounmpo,placed on IL with bruised right shoulder
2024-01-17,Celtics,,• Derrick White,placed on IL with sprained left ankle
2024-01-17,Celtics,,• Kristaps Porzingis,placed on IL with right knee inflammation
2024-01-17,Hornets,,• Brandon Miller,placed on IL with bruised lower back
2024-01-17,Hornets,,• Bryce McGowens,placed on IL with left hip injury
2024-01-17,Hornets,• Frank Ntilikina,,activated from IL
2024-01-17,Mavericks,,• Josh Green,placed on IL with illness
2024-01-17,Mavericks,• Derrick Jones Jr.,,activated from IL
2024-01-17,Mavericks,• Luka Doncic,,activated from IL
2024-01-17,Pistons,• Bojan Bogdanovic,,activated from IL
2024-01-17,Raptors,• Gary Trent Jr.,,activated from IL
2024-01-17,Rockets,,• Reggie Bullock,placed on IL with sore lower back
2024-01-17,Wizards,,• Daniel Gafford,placed on IL with concussion protocol
2024-01-18,Bulls,• Julian Phillips,,activated from IL
2024-01-18,Celtics,• Derrick White,,activated from IL
2024-01-18,Celtics,• Kristaps Porzingis,,activated from IL
2024-01-18,Knicks,,• Josh Hart,placed on IL with left knee injury
2024-01-18,Nets,,• Dariq Whitehead,placed on IL with various injuries (out for season)
2024-01-18,Pacers,,• Andrew Nembhard,placed on IL with back injury
2024-01-18,Thunder,,• Luguentz Dort,placed on IL with illness
2024-01-18,Thunder,,• Ousmane Dieng,placed on IL with illness
2024-01-19,Blazers,,• Anfernee Simons,placed on IL with illness
2024-01-19,Blazers,• Deandre Ayton,,activated from IL
2024-01-19,Bulls,,• Zach LaVine,placed on IL with sprained right ankle
2024-01-19,Hawks,,• Trae Young,placed on IL with illness
2024-01-19,Heat,• Kevin Love,,activated from IL
2024-01-19,Hornets,,• Nick Richards,placed on IL with sprained right ankle
2024-01-19,Hornets,• Brandon Miller,,activated from IL
2024-01-19,Pacers,,• Isaiah Jackson,placed on IL with concussion
2024-01-19,Pacers,• Aaron Nesmith,,activated from IL
2024-01-19,Pacers,• Tyrese Haliburton,,activated from IL
2024-01-19,Spurs,• Zach Collins,,activated from IL
2024-01-20,76ers,,• Patrick Beverley,placed on IL with illness
2024-01-20,76ers,• Kenneth Lofton Jr.,,activated from IL
2024-01-20,Bucks,• Giannis Antetokounmpo,,activated from IL
2024-01-20,Hawks,• Trae Young,,activated from IL
2024-01-20,Hornets,,• LaMelo Ball,placed on IL with sore right ankle
2024-01-20,Hornets,• Bryce McGowens,,activated from IL
2024-01-20,Knicks,• Josh Hart,,activated from IL
2024-01-20,Raptors,• Otto Porter Jr.,,activated from IL
2024-01-20,Thunder,• Luguentz Dort,,activated from IL
2024-01-20,Thunder,• Ousmane Dieng,,activated from IL
2024-01-21,76ers,• Patrick Beverley,,activated from IL
2024-01-21,Blazers,• Anfernee Simons,,activated from IL
2024-01-21,Celtics,,• Jrue Holiday,placed on IL with sprained right elbow
2024-01-21,Hawks,,• Trae Young,placed on IL with concussion protocol
2024-01-21,Lakers,,• Taurean Prince,placed on IL with sore left knee
2024-01-21,Lakers,• Cam Reddish,,activated from IL
2024-01-21,Magic,• Franz Wagner,,activated from IL
2024-01-21,Mavericks,• Josh Green,,activated from IL
2024-01-21,Pacers,,• Tyrese Haliburton,placed on IL with strained left hamstring
2024-01-21,Pacers,• Andrew Nembhard,,activated from IL
2024-01-21,Rockets,,• Fred VanVleet,placed on IL with tightness in lower back
2024-01-21,Rockets,,• Jabari Smith Jr.,placed on IL with sprained left ankle
2024-01-21,Rockets,,• Jeff Green,placed on IL with left calf injury
2024-01-21,Wizards,• Daniel Gafford,,activated from IL
2024-01-22,76ers,,• Marcus Morris,placed on IL with plantar fasciitis in left foot
2024-01-22,76ers,,• Patrick Beverley,placed on IL with illness
2024-01-22,Celtics,,• Kristaps Porzingis,placed on IL with right knee inflammation
2024-01-22,Celtics,,• Oshae Brissett,placed on IL with strained lower back
2024-01-22,Celtics,• Jrue Holiday,,activated from IL
2024-01-22,Hornets,,• Cody Martin,placed on IL with bruised right knee
2024-01-22,Hornets,• LaMelo Ball,,activated from IL
2024-01-22,Lakers,,• LeBron James,placed on IL with left ankle injury
2024-01-22,Lakers,• Taurean Prince,,activated from IL
2024-01-22,Mavericks,,• Seth Curry,placed on IL with sprained left ankle
2024-01-22,Suns,,• Eric Gordon,placed on IL with sore right wrist
2024-01-22,Thunder,,• Olivier Sarr,placed on IL with strained right hip flexor
2024-01-23,Knicks,,• Isaiah Hartenstein,placed on IL with sore left ankle
2024-01-23,Pacers,• Isaiah Jackson,,activated from IL
2024-01-23,Rockets,• Fred VanVleet,,activated from IL
2024-01-23,Rockets,• Jabari Smith Jr.,,activated from IL
2024-01-23,Rockets,• Jeff Green,,activated from IL
2024-01-24,76ers,• Patrick Beverley,,activated from IL
2024-01-24,Celtics,• Kristaps Porzingis,,activated from IL
2024-01-24,Celtics,• Oshae Brissett,,activated from IL
2024-01-24,Grizzlies,,• Luke Kennard,placed on IL with right thigh injury
2024-01-24,Hawks,,• Bruno Fernando,placed on IL with lower back spasms
2024-01-24,Hornets,• Cody Martin,,activated from IL
2024-01-24,Hornets,• Nick Richards,,activated from IL
2024-01-24,Kings,,• Aleksandar Vezenkov / Sasha Vezenkov,placed on IL with sprained right ankle
2024-01-24,Lakers,,• Maxwell Lewis,placed on IL with illness
2024-01-24,Mavericks,,• Dwight Powell,placed on IL with left eye injury
2024-01-24,Mavericks,,• Kyrie Irving,placed on IL with sprained right thumb
2024-01-24,Mavericks,• Dante Exum,,activated from IL
2024-01-24,Mavericks,• Seth Curry,,activated from IL
2024-01-24,Pistons,• Monte Morris,,activated from IL
2024-01-24,Rockets,,• Jae'Sean Tate,placed on IL with sprained left wrist
2024-01-24,Spurs,,• Tre Jones,placed on IL with sprained left ankle
2024-01-24,Timberwolves,,• Mike Conley Jr.,placed on IL with illness
2024-01-24,Wizards,,• Isaiah Livers,placed on IL with sore right hip / right hip inflammation (out for season)
2024-01-25,76ers,• Jaden Springer,,activated from IL
2024-01-25,Grizzlies,• Luke Kennard,,activated from IL
2024-01-25,Heat,,• Kevin Love,placed on IL with stomach illness
2024-01-25,Lakers,• LeBron James,,activated from IL
2024-01-25,Nets,,• Day'Ron Sharpe,placed on IL with hyperextended left knee
2024-01-25,Raptors,,• Immanuel Quickley,placed on IL with bruised right quadriceps
2024-01-25,Timberwolves,• Mike Conley Jr.,,activated from IL
2024-01-26,Blazers,,• Malcolm Brogdon,placed on IL with bruised right knee
2024-01-26,Hawks,• Trae Young,,activated from IL
2024-01-26,Hawks,• Wesley Matthews / Wes Matthews Jr.,,activated from IL
2024-01-26,Heat,• Jaime Jaquez Jr.,,activated from IL
2024-01-26,Heat,• Kevin Love,,activated from IL
2024-01-26,Mavericks,,• Maximilian Kleber / Maxi Kleber,placed on IL with dislocated toe
2024-01-26,Pelicans,• Matt Ryan,,activated from IL
2024-01-26,Rockets,• Jae'Sean Tate,,activated from IL
2024-01-26,Rockets,• Reggie Bullock,,activated from IL
2024-01-26,Spurs,• Tre Jones,,activated from IL
2024-01-26,Suns,• Eric Gordon,,activated from IL
2024-01-27,76ers,,• Tobias Harris,placed on IL with illness
2024-01-27,76ers,,• Tyrese Maxey,placed on IL with sprained left ankle
2024-01-27,76ers,• Marcus Morris,,activated from IL
2024-01-27,Bucks,,• Khris Middleton,placed on IL with right knee injury
2024-01-27,Celtics,,• Kristaps Porzingis,placed on IL with sprained left ankle
2024-01-27,Grizzlies,,• Luke Kennard,placed on IL with sore left knee
2024-01-27,Hornets,,• LaMelo Ball,placed on IL with sore right ankle (out for season)
2024-01-27,Knicks,• Isaiah Hartenstein,,activated from IL
2024-01-27,Lakers,,• Cam Reddish,placed on IL with sprained right ankle
2024-01-27,Lakers,• Maxwell Lewis,,activated from IL
2024-01-27,Mavericks,,• Dante Exum,placed on IL with sore right knee
2024-01-27,Mavericks,,• Derrick Jones Jr.,placed on IL with sprained left wrist
2024-01-27,Mavericks,• Maximilian Kleber / Maxi Kleber,,activated from IL
2024-01-27,Pistons,• Cade Cunningham,,activated from IL
2024-01-27,Rockets,,• Jabari Smith Jr.,placed on IL with sprained left ankle
2024-01-27,Spurs,,• Zach Collins,placed on IL with sore right ankle
2024-01-27,Spurs,• Sidy Cissoko,,activated from IL
2024-01-27,Thunder,• Olivier Sarr,,activated from IL
2024-01-27,Timberwolves,,• Mike Conley Jr.,placed on IL with tightness in left hamstring
2024-01-28,Blazers,• Malcolm Brogdon,,activated from IL
2024-01-28,Bucks,• Khris Middleton,,activated from IL
2024-01-28,Knicks,,• Julius Randle,placed on IL with dislocated right shoulder (out for season)
2024-01-28,Nets,,• Dorian Finney-Smith,placed on IL with sprained left ankle
2024-01-28,Pacers,,• Myles Turner,placed on IL with back spasms
2024-01-28,Raptors,,• R.J. Barrett,placed on IL with left knee inflammation
2024-01-28,Rockets,• Jabari Smith Jr.,,activated from IL
2024-01-28,Suns,,• Jusuf Nurkic,placed on IL with sprained left thumb
2024-01-29,76ers,,• Joel Embiid,placed on IL with sore left knee
2024-01-29,76ers,• Mohamed Bamba / Mo Bamba,,activated from IL
2024-01-29,76ers,• Tobias Harris,,activated from IL
2024-01-29,Cavaliers,• Evan Mobley,,activated from IL
2024-01-29,Celtics,,• Luke Kornet,placed on IL with tightness in left hamstring
2024-01-29,Grizzlies,,• John Konchar,placed on IL with sprained left ankle
2024-01-29,Magic,,• Markelle Fultz,placed on IL with left knee injury
2024-01-29,Mavericks,• Dwight Powell,,activated from IL
2024-01-29,Nets,• Ben Simmons,,activated from IL
2024-01-29,Suns,• Jusuf Nurkic,,activated from IL
2024-01-30,76ers,,• Nicolas Batum,placed on IL with tightness in left hamstring
2024-01-30,76ers,• Joel Embiid,,activated from IL
2024-01-30,Bulls,,• Patrick Williams,placed on IL with sore left foot (out for season)
2024-01-30,Cavaliers,• Darius Garland,,activated from IL
2024-01-30,Celtics,,• Al Horford,placed on IL with strained neck
2024-01-30,Celtics,• Kristaps Porzingis,,activated from IL
2024-01-30,Hawks,• De'Andre Hunter,,activated from IL
2024-01-30,Heat,,• Duncan Robinson,placed on IL with concussion protocol
2024-01-30,Knicks,,• Ogugua Anunoby / O.G. Anunoby,placed on IL with right elbow inflammation
2024-01-30,Lakers,,• Anthony Davis,placed on IL with Achilles injury
2024-01-30,Magic,• Markelle Fultz,,activated from IL
2024-01-30,Pacers,,• Bennedict Mathurin,placed on IL with toe injury
2024-01-30,Pacers,,• T.J. McConnell,placed on IL with illness
2024-01-30,Pacers,• Myles Turner,,activated from IL
2024-01-30,Pacers,• Tyrese Haliburton,,activated from IL
2024-01-30,Pistons,,• Isaiah Stewart,placed on IL with sprained left ankle
2024-01-30,Thunder,,• Isaiah Joe,placed on IL with bruised sternum
2024-01-30,Thunder,,• Jalen Williams,placed on IL with sprained right ankle
2024-01-30,Wizards,,• Landry Shamet,placed on IL with illness
2024-01-31,76ers,,• Joel Embiid,placed on IL with torn meniscus in left knee
2024-01-31,Bulls,,• Dalen Terry,placed on IL with sprained right ankle
2024-01-31,Celtics,• Al Horford,,activated from IL
2024-01-31,Clippers,,• Paul George,placed on IL with left groin injury
2024-01-31,Mavericks,,• Dereck Lively II,placed on IL with nasal fracture
2024-01-31,Mavericks,,• Luka Doncic,placed on IL with sprained right ankle
2024-01-31,Nets,,• Ben Simmons,placed on IL with bruised left knee
2024-01-31,Nuggets,,• Nikola Jokic,placed on IL with sore lower back
2024-01-31,Pelicans,,• Herbert Jones / Herb Jones (Keyshawn),placed on IL with right adductor injury
2024-01-31,Pelicans,,• Zion Williamson,placed on IL with bruised left foot
2024-01-31,Spurs,,• Keldon Johnson,placed on IL with left elbow injury
2024-01-31,Suns,,• Grayson Allen,placed on IL with sprained right ankle
2024-01-31,Suns,• Bol Bol,,activated from IL
2024-01-31,Timberwolves,• Mike Conley Jr.,,activated from IL
2024-02-01,76ers,,• Marcus Morris,placed on IL with plantar fasciitis in left foot
2024-02-01,76ers,• Tyrese Maxey,,activated from IL
2024-02-01,Cavaliers,,• Evan Mobley,placed on IL with left knee injury
2024-02-01,Clippers,• Paul George,,activated from IL
2024-02-01,Grizzlies,,• Jake LaRavia,placed on IL with sprained left ankle
2024-02-01,Grizzlies,,• Ziaire Williams,placed on IL with bruised/sore left hand
2024-02-01,Grizzlies,• John Konchar,,activated from IL
2024-02-01,Knicks,,• Quentin Grimes,placed on IL with sprained right knee
2024-02-01,Lakers,,• LeBron James,placed on IL with left ankle injury
2024-02-01,Nets,• Ben Simmons,,activated from IL
2024-02-01,Pacers,• T.J. McConnell,,activated from IL
2024-02-01,Pistons,,• Mike Muscala,placed on IL with concussion protocol
2024-02-01,Suns,• Grayson Allen,,activated from IL
2024-02-01,Warriors,,• Dario Saric,placed on IL with illness
2024-02-02,Cavaliers,• Evan Mobley,,activated from IL
2024-02-02,Grizzlies,,• Xavier Tillman,placed on IL with sore left knee
2024-02-02,Grizzlies,• Derrick Rose,,activated from IL
2024-02-02,Grizzlies,• Luke Kennard,,activated from IL
2024-02-02,Hawks,,• De'Andre Hunter,placed on IL with right knee injury
2024-02-02,Hawks,• Bruno Fernando,,activated from IL
2024-02-02,Heat,,• Jamal Cain,placed on IL with illness
2024-02-02,Magic,• Gary Harris,,activated from IL
2024-02-02,Mavericks,• Luka Doncic,,activated from IL
2024-02-02,Nuggets,• Julian Strawther,,activated from IL
2024-02-02,Nuggets,• Nikola Jokic,,activated from IL
2024-02-02,Pacers,,• Myles Turner,placed on IL with sprained left ankle
2024-02-02,Pacers,• Bennedict Mathurin,,activated from IL
2024-02-02,Pelicans,,• Larry Nance Jr.,placed on IL with sore left ankle
2024-02-02,Pelicans,• Zion Williamson,,activated from IL
2024-02-02,Raptors,,• Jontay Porter,placed on IL with back spasms
2024-02-02,Raptors,• Immanuel Quickley,,activated from IL
2024-02-02,Raptors,• Jakob Poeltl,,activated from IL
2024-02-02,Spurs,• Zach Collins,,activated from IL
2024-02-02,Wizards,,• Marvin Bagley III,placed on IL with bruised lower back
2024-02-02,Wizards,• Landry Shamet,,activated from IL
2024-02-03,76ers,• Marcus Morris,,activated from IL
2024-02-03,Bucks,,• Andre Jackson Jr.,placed on IL with sprained right wrist
2024-02-03,Bulls,,• Zach LaVine,placed on IL with surgery on foot (out for season)
2024-02-03,Bulls,• Torrey Craig,,activated from IL
2024-02-03,Grizzlies,,• Jaren Jackson Jr.,placed on IL with sore right hip
2024-02-03,Hawks,,• Saddiq Bey,placed on IL with sprained left ankle
2024-02-03,Hawks,,• Wesley Matthews / Wes Matthews Jr.,placed on IL with right calf injury
2024-02-03,Hawks,• De'Andre Hunter,,activated from IL
2024-02-03,Lakers,• Anthony Davis,,activated from IL
2024-02-03,Lakers,• LeBron James,,activated from IL
2024-02-03,Mavericks,• Derrick Jones Jr.,,activated from IL
2024-02-03,Spurs,• Keldon Johnson,,activated from IL
2024-02-03,Wizards,,• Kyle Kuzma,placed on IL with sore left shoulder
2024-02-04,Blazers,,• Malcolm Brogdon,placed on IL with bruised right knee
2024-02-04,Bucks,,• Khris Middleton,placed on IL with right knee injury
2024-02-04,Bucks,• Andre Jackson Jr.,,activated from IL
2024-02-04,Celtics,,• Jaylen Brown,placed on IL with tightness in lower back
2024-02-04,Celtics,• Luke Kornet,,activated from IL
2024-02-04,Clippers,• Ivica Zubac,,activated from IL
2024-02-04,Hawks,,• Clint Capela,placed on IL with strained left adductor
2024-02-04,Hawks,• Wesley Matthews / Wes Matthews Jr.,,activated from IL
2024-02-04,Heat,• Jamal Cain,,activated from IL
2024-02-04,Hornets,,• Cody Martin,placed on IL with bruised right knee
2024-02-04,Nets,,• Ben Simmons,placed on IL with lower back injury
2024-02-04,Pacers,• Myles Turner,,activated from IL
2024-02-04,Pistons,• Mike Muscala,,activated from IL
2024-02-04,Raptors,• R.J. Barrett,,activated from IL
2024-02-04,Warriors,,• Andrew Wiggins,placed on IL with sprained left ankle
2024-02-04,Warriors,• Dario Saric,,activated from IL
2024-02-04,Warriors,• Moses Moody,,activated from IL
2024-02-05,Clippers,,• Ivica Zubac,placed on IL with strained right calf
2024-02-05,Hawks,• Saddiq Bey,,activated from IL
2024-02-05,Lakers,,• Jarred Vanderbilt,placed on IL with foot injury
2024-02-05,Mavericks,• Kyrie Irving,,activated from IL
2024-02-05,Pelicans,• Herbert Jones / Herb Jones (Keyshawn),,activated from IL
2024-02-05,Pelicans,• Larry Nance Jr.,,activated from IL
2024-02-05,Raptors,,• R.J. Barrett,placed on IL with left knee injury
2024-02-05,Rockets,,• Fred VanVleet,placed on IL with strained left adductor
2024-02-06,Bucks,,• Damian Lillard,placed on IL with sprained left ankle
2024-02-06,Bucks,• Khris Middleton,,activated from IL
2024-02-06,Bulls,• Dalen Terry,,activated from IL
2024-02-06,Celtics,• Jaylen Brown,,activated from IL
2024-02-06,Clippers,• Ivica Zubac,,activated from IL
2024-02-06,Heat,• Duncan Robinson,,activated from IL
2024-02-06,Jazz,,• Ochai Agbaji,placed on IL with illness
2024-02-06,Knicks,,• Jericho Sims,placed on IL with illness
2024-02-06,Nets,,• Cameron Johnson,placed on IL with left adductor injury
2024-02-06,Nets,,• Lonnie Walker IV,placed on IL with tightness in left hamstring
2024-02-06,Nets,• Ben Simmons,,activated from IL
2024-02-06,Pacers,,• Bennedict Mathurin,placed on IL with illness
2024-02-06,Raptors,• R.J. Barrett,,activated from IL
2024-02-06,Thunder,,• Davis Bertans,placed on IL with sore right knee
